Tele Zentralschweiz,Teleclub AG,Broadcaster
Telebasel,Teleclub AG,Broadcaster
Telebasel/ Susanne Hueber,Teleclub AG,Broadcaster
TeleBielingue,Teleclub AG,Broadcaster
Teleclub AG,Teleclub AG,Broadcaster
Teleclub Programm AG,Teleclub AG,Broadcaster
TeleTicino SA,Teleclub AG,Broadcaster
Textlab GmbH / Swisscom,Swissfiberinvest Menziken AG,Infrastruktur
TF1,TF1,Broadcaster
The Cover Media AG,The Cover Media AG,Agentur
The Generation Media AG,the Generation Media AG,Agentur
The Walt Disney Company (Switzerland) GmbH,The Walt Disney Company (Switzerland) GmbH,Broadcaster
Ticketcorner AG,TicketCorner AG,Infrastruktur
TMC The Media Consultants,MdH Consultants AG,Agentur
Tonstudios Z,Tonstudios Z AG,Produktion
Toyota AG,Toyota AG,Kunde
tpc ag,TPC Television production Center,Produktion
TPC AG (SRG),TPC Television production Center,Produktion
TPC Television production Center,TPC Television production Center,Produktion
Trafag AG,Trafag AG,Infrastruktur
TV LEMAN BLEU SA,TV LEMAN BLEU SA,Broadcaster
Twister Interactive AG,Twister Interactive AG,Infrastruktur
TWmedia,TW Media GmbH,Agentur
UBS AG,UBS AG,Kunde
UNIVERSAL // TTP,Universal/ TTP Take Two Publicity AG,Produktion
Universal McCann,Universal McCann SA,Produktion
Universal Music GmbH,Universal Music GmbH,Produktion
Universal Music Switzerland,Universal Music AG,Produktion
Universal Pictures Int'l Switzerland,Universal Pictures Int'l Switzerland,Produktion
Universal/ TTP Take Two Publicity AG,Universal/ TTP Take Two Publicity AG,Produktion
upc cablecom,upc cablecom GmbH,Infrastruktur
upc cablecom GmbH,upc cablecom GmbH,Infrastruktur
USP Partner AG,upc cablecom GmbH,Infrastruktur
Van Melle AG,Van Melle AG,Andere
Verband Schweizerischer Kantonalbanken,Verband Schweizerischer Kantonalbanken,Verband
Verkehrsbetriebe Zürich,Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Kunde
Verkehrshaus der Schweiz,Verkehrshaus der Schweiz (VHS),Verband
Verkehrshaus Schweiz,Verkehrshaus der Schweiz (VHS),Verband
Viacom International Media Networks,Viacom International Media Networks,Broadcaster
Viacom MTV,Viacom International Media Networks,Broadcaster
VIMN Switzerland AG,Viacom International Media Networks,Broadcaster
VivaKi Exchange,VivaKi Exchange,Agentur
Vivaki Exchange,Vivaki Exchange,Agentur
VIVAKI EXCHANGE a Division of ZenithOptimedia AG,Vivaki Exchange,Agentur
VOX Television GmbH,VOX Television GmbH,Broadcaster
W4 Marketing AG,W4 Marketing AG,Agentur
Walker Werbeagentur,Walker Werbeagentur,Agentur
Warner Brothers,Warner Music (Switzerland) AG,Produktion
Warner Music (Switzerland) AG,Warner Music (Switzerland) AG,Produktion
Warner Music Switzerland,Warner Music (Switzerland) AG,Produktion
watson,watson,Print
WebComTV  AG,WebComTV  AG,Produktion
webcomtv AG,WebComTV  AG,Produktion
Weka Business Media AG,WEKA Business Media AG,HR
Weleda AG,Weleda AG,Kunde
Weltbild Verlag GmbH,Weltbild Verlag GmbH,Print
WEMF AG für Werbemedienforschung,WEMF AGfür Werbemedienforschung,Forschung
WerbeWeischer,WerbeWeischer Schweiz GmbH,Kino
WerbeWeischer Schweiz GmbH,WerbeWeischer Schweiz GmbH,Kino
Werbewoche,Werbewoche,Print
Westiform AG,Westiform AG,Infrastruktur
William White,Andere,Andere
Wilmaa,Wilmaa GmbH,Infrastruktur
Wilmaa Digital World AG,Wilmaa GmbH,Infrastruktur
Wirz Werbung,Wirz Werbung AG,Agentur
Wirz Werbung AG,Wirz Werbung AG,Agentur
World Television,World Television,Produktion
www.ticket-com.ch ,Ticket Buchversand Bortlik,Infrastruktur
xeit gmbh,xeit GmbH,Agentur
Zürcher Marketing,Zürcher Marketing,Andere
zattoo,Zattoo Schweiz AG,Infrastruktur
Zattoo Schweiz AG,Zattoo Schweiz AG,Infrastruktur
Zauberküche Marketing Solutions AG,zauberküche marketing solutions AG,Andere
ZDF Enterprises GmbH,ZDF Enterprises GmbH,Broadcaster
Zeitgeist Kommunikations AG,Zeitgeist Kommunikations AG,Agentur
Zenith optimedia,Zenithoptimedia AG,Agentur
Zenith Optimedia AG,Zenithoptimedia AG,Agentur
ZenithOptimedia,Zenithoptimedia AG,Agentur
Zenithoptimedia,Zenithoptimedia AG,Agentur
Zenithoptimedia AG,Zenithoptimedia AG,Agentur
ZenithOptimedia AG,Zenithoptimedia AG,Agentur
Zentihoptimedia,Zenithoptimedia AG,Agentur
Zesscom AG,Zesscom AG,Agentur
ZHAW (Zürcher Hochschule für Angewandte Wissenschaften),ZHAW (Zürcher Hochschule für Angewandte Wissenschaften),Forschung
ZHAW Zürcher Hochschule für Angewandte Wissenschaften,ZHAW (Zürcher Hochschule für Angewandte Wissenschaften),Forschung
zip media gmbh,zip media gmbh,Agentur
ZipMedia GmbH Media und Kommunikation,zip media gmbh,Agentur
Zurich Global Corporate Switzerland,Zurich Global Corporate Switzerland,Kunde
,Keine Angaben,Andere
